"filename", "language", "JSON", "JavaScript", "Markdown", "JSON with Comments", "JavaScript JSX", "XML", "CSS", "comment", "blank", "total"
"/home/lukachikvaidze/projects/sheuketee/src/routes/account.jsx", "JavaScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 2, 44
"/home/lukachikvaidze/projects/sheuketee/src/routes/account/index.jsx", "JavaScript JSX", 0, 0, 0, 0, 191, 0, 0, 0, 13, 204
"/home/lukachikvaidze/projects/sheuketee/src/routes/account/notifications.jsx", "JavaScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 5, 52
"/home/lukachikvaidze/projects/sheuketee/src/routes/account/privacy.jsx", "JavaScript JSX", 0, 0, 0, 0, 91, 0, 0, 0, 7, 98
"/home/lukachikvaidze/projects/sheuketee/src/routes/api/authentication.js", "JavaScript", 0, 169, 0, 0, 0, 0, 0, 0, 20, 189
"/home/lukachikvaidze/projects/sheuketee/src/routes/api/damkveti/create_job.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 181, 20, 201
"/home/lukachikvaidze/projects/sheuketee/src/routes/api/damkveti/job.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 38, 5, 43
"/home/lukachikvaidze/projects/sheuketee/src/routes/api/damkveti/modify/date.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 16, 4, 20
"/home/lukachikvaidze/projects/sheuketee/src/routes/api/damkveti/modify/location.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 16, 4, 20
"/home/lukachikvaidze/projects/sheuketee/src/routes/api/damkveti/modify/password.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 2, 4
"/home/lukachikvaidze/projects/sheuketee/src/routes/api/damkveti/setup.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 325, 50, 375
"/home/lukachikvaidze/projects/sheuketee/src/routes/api/damkveti/step.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 44, 5, 49
"/home/lukachikvaidze/projects/sheuketee/src/routes/api/damkveti/upload_profile_picture_setup/[profId].js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 31, 8, 39
"/home/lukachikvaidze/projects/sheuketee/src/routes/api/header.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"/home/lukachikvaidze/projects/sheuketee/src/routes/api/jobs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 50, 7, 57
"/home/lukachikvaidze/projects/sheuketee/src/routes/api/password/find_user.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 7, 66
"/home/lukachikvaidze/projects/sheuketee/src/routes/api/password/reset.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 5, 41
